Anno;Mese;Zona;Incidenti;Morti;Feriti
2003;5;6;136;1;189
2003;5;7;192;0;257
2003;5;8;211;1;277
2003;5;9;257;1;364
2003;6;;68;1;89
2003;6;1;189;0;228
2003;6;2;101;1;135
2003;6;3;188;0;238
2003;6;4;170;0;222
2003;6;5;152;2;213
2003;6;6;136;1;180
2003;6;7;199;3;273
2003;6;8;194;2;256
2003;6;9;230;2;329
2003;7;;55;0;62
2003;7;1;175;0;207
2003;7;2;99;0;126
2003;7;3;171;0;220
2003;7;4;147;1;178
2003;7;5;130;1;167
2003;7;6;135;0;183
2003;7;7;142;2;189
2003;7;8;181;0;243
2003;7;9;188;0;231
2003;8;;24;0;24
2003;8;1;64;0;77
2003;8;2;53;2;68
2003;8;3;92;0;131
2003;8;4;70;2;99
2003;8;5;55;0;79
2003;8;6;57;0;78
2003;8;7;87;0;122
2003;8;8;87;0;119
2003;8;9;110;1;164
2003;9;;57;0;77
2003;9;1;181;0;233
2003;9;2;86;0;116
2003;9;3;188;1;263
2003;9;4;116;0;161
2003;9;5;138;1;184
2003;9;6;119;0;148
2003;9;7;181;1;230
2003;9;8;172;3;212
2003;9;9;166;3;215
2003;10;;61;0;88
2003;10;1;222;0;268
2003;10;2;116;1;145
2003;10;3;234;0;315
2003;10;4;171;2;231
2003;10;5;146;0;199
2003;10;6;142;0;183
2003;10;7;190;0;251
2003;10;8;213;1;284
2003;10;9;211;1;282
2003;11;;50;1;66
2003;11;1;182;1;225
2003;11;2;88;0;125
2003;11;3;167;0;228
2003;11;4;127;0;171
2003;11;5;155;0;196
2003;11;6;135;0;179
2003;11;7;174;2;229
2003;11;8;162;2;203
2003;11;9;197;1;291
2003;12;;64;0;90
2003;12;1;167;0;221
2003;12;2;119;0;161
2003;12;3;174;0;224
2003;12;4;115;0;155
2003;12;5;151;0;201
2003;12;6;98;0;133
2003;12;7;169;0;224
2003;12;8;164;0;220
2003;12;9;185;0;249
2004;1;;39;0;61
2004;1;1;151;1;172
2004;1;2;84;0;117
2004;1;3;162;0;205
2004;1;4;115;1;156
2004;1;5;119;0;163
2004;1;6;101;1;146
2004;1;7;118;1;170
2004;1;8;151;2;204
2004;1;9;171;0;241
2004;2;;42;0;55
2004;2;1;144;1;165
2004;2;2;68;0;93
2004;2;3;136;0;172
2004;2;4;112;0;165
2004;2;5;126;1;189
2004;2;6;97;1;135
2004;2;7;114;0;164
2004;2;8;136;1;186
2004;2;9;157;1;215
2004;3;;55;0;75
2004;3;1;171;0;229
2004;3;2;90;0;121
2004;3;3;170;0;218
2004;3;4;120;1;151
2004;3;5;123;1;174
2004;3;6;96;0;143
2004;3;7;128;0;162
2004;3;8;159;0;225
2004;3;9;186;0;244
2004;4;;66;0;91
2004;4;1;165;0;214
2004;4;2;88;1;124
2004;4;3;177;0;226
2004;4;4;134;1;187
2004;4;5;134;0;195
2004;4;6;115;0;143
2004;4;7;166;2;230
2004;4;8;158;0;220
2004;4;9;188;2;256
2004;5;;63;0;76
2004;5;1;214;0;292
2004;5;2;110;1;142
2004;5;3;195;1;259
2004;5;4;151;0;190
2004;5;5;157;2;223
2004;5;6;129;1;164
2004;5;7;157;0;217
2004;5;8;189;3;239
2004;5;9;213;1;297
2004;6;;58;2;74
2004;6;1;172;2;206
2004;6;2;94;1;129
2004;6;3;206;0;280
2004;6;4;170;1;211
2004;6;5;174;2;232
2004;6;6;136;1;178
2004;6;7;179;1;245
2004;6;8;199;0;263
2004;6;9;189;1;304
2004;7;;71;0;91
2004;7;1;169;0;208
2004;7;2;96;0;135
2004;7;3;216;0;295
2004;7;4;142;3;192
2004;7;5;157;1;210
2004;7;6;103;0;131
2004;7;7;162;0;203
2004;7;8;201;0;264
2004;7;9;212;0;274
2004;8;;30;0;37
2004;8;1;56;0;76
2004;8;2;64;0;98
2004;8;3;101;0;137
2004;8;4;58;0;84
2004;8;5;78;0;106
2004;8;6;60;0;71
2004;8;7;63;1;88
2004;8;8;79;0;100
2004;8;9;110;1;150
2004;9;;66;1;88
2004;9;1;177;0;221
2004;9;2;113;0;156
2004;9;3;182;0;248
2004;9;4;146;1;174
2004;9;5;137;2;190
2004;9;6;106;0;132
2004;9;7;161;1;223
2004;9;8;184;0;257
2004;9;9;188;1;267
2004;10;;73;0;100
2004;10;1;223;2;278
2004;10;2;118;0;165
2004;10;3;243;1;321
2004;10;4;177;1;226
2004;10;5;149;2;200
2004;10;6;127;1;165
2004;10;7;157;1;196
2004;10;8;222;0;297
2004;10;9;221;1;308
2004;11;;59;0;80
2004;11;1;159;0;200
2004;11;2;79;0;117
2004;11;3;203;0;267
2004;11;4;135;0;194
2004;11;5;130;2;187
2004;11;6;106;0;149
2004;11;7;115;1;144
2004;11;8;179;1;256
2004;11;9;210;4;277
2004;12;;60;0;84
2004;12;1;157;0;200
2004;12;2;97;1;135
2004;12;3;164;0;238
2004;12;4;119;0;153
2004;12;5;139;3;193
2004;12;6;111;1;159
2004;12;7;130;1;169
2004;12;8;194;1;245
2004;12;9;185;0;271
2005;1;;41;0;56
2005;1;1;125;1;159
2005;1;2;76;0;111
2005;1;3;151;1;203
2005;1;4;108;0;139
2005;1;5;111;1;164
2005;1;6;97;1;137
2005;1;7;97;0;144
2005;1;8;130;4;175
2005;1;9;132;0;194
2005;2;;50;0;64
2005;2;1;146;2;193
2005;2;2;75;0;104
2005;2;3;139;0;196
2005;2;4;112;1;136
2005;2;5;120;1;173
2005;2;6;87;2;130
2005;2;7;87;1;119
2005;2;8;134;3;178
2005;2;9;148;0;200
2005;3;;57;0;82
2005;3;1;133;1;157
2005;3;2;75;0;100
2005;3;3;150;1;210
2005;3;4;100;2;123
2005;3;5;129;1;169
2005;3;6;101;1;130
2005;3;7;126;1;170
2005;3;8;167;1;217
2005;3;9;147;2;206
2005;4;;59;0;82
2005;4;1;166;1;209
2005;4;2;73;0;90
2005;4;3;145;0;195
2005;4;4;146;1;193
2005;4;5;138;2;205
2005;4;6;123;0;149
2005;4;7;141;0;185
2005;4;8;132;1;173
2005;4;9;186;0;256
2005;5;;79;0;95
2005;5;1;210;1;278
2005;5;2;102;1;138
2005;5;3;193;1;249
2005;5;4;152;1;206
2005;5;5;118;0;163
2005;5;6;109;0;140
2005;5;7;166;1;224
2005;5;8;201;1;249
2005;5;9;210;1;296
2005;6;;61;0;78
2005;6;1;162;1;200
2005;6;2;98;0;128
2005;6;3;185;0;241
2005;6;4;118;1;168
2005;6;5;142;0;218
2005;6;6;116;0;147
2005;6;7;142;0;198
2005;6;8;216;0;287
2005;6;9;196;2;264
2005;7;;61;2;80
2005;7;1;156;0;194
2005;7;2;101;0;130
2005;7;3;195;1;257
2005;7;4;166;0;224
2005;7;5;151;0;222
2005;7;6;110;0;136
2005;7;7;153;2;195
2005;7;8;160;0;219
2005;7;9;172;0;242
2005;8;;39;0;51
2005;8;1;79;0;111
2005;8;2;65;0;94
2005;8;3;106;2;139
2005;8;4;76;1;97
2005;8;5;87;0;120
2005;8;6;66;0;87
2005;8;7;83;1;104
2005;8;8;77;0;102
2005;8;9;118;0;164
2005;9;;64;0;96
2005;9;1;172;1;209
2005;9;2;99;1;129
2005;9;3;153;1;201
2005;9;4;127;1;183
2005;9;5;124;1;175
2005;9;6;119;1;157
2005;9;7;144;0;188
2005;9;8;157;4;203
2005;9;9;183;0;246
2005;10;;64;0;89
2005;10;1;193;1;257
2005;10;2;107;0;162
2005;10;3;162;1;192
2005;10;4;123;0;166
2005;10;5;140;1;195
2005;10;6;96;0;120
2005;10;7;163;0;204
2005;10;8;155;1;201
2005;10;9;205;3;285
2005;11;;79;2;124
2005;11;1;180;1;221
2005;11;2;89;0;128
2005;11;3;171;0;234
2005;11;4;152;0;197
2005;11;5;133;0;180
2005;11;6;116;0;147
2005;11;7;133;1;181
2005;11;8;225;1;305
2005;11;9;177;0;237
2005;12;;62;1;84
2005;12;1;145;0;202
2005;12;2;63;0;94
2005;12;3;130;0;192
2005;12;4;99;0;137
2005;12;5;119;0;181
2005;12;6;92;1;120
2005;12;7;123;2;156
2005;12;8;144;2;186
2005;12;9;142;2;208
2006;1;;50;1;62
2006;1;1;183;1;222
2006;1;2;76;0;103
2006;1;3;154;0;208
2006;1;4;102;0;145
2006;1;5;114;0;160
2006;1;6;87;0;111
2006;1;7;136;3;180
2006;1;8;143;3;197
2006;1;9;162;0;240
2006;2;;40;2;52
2006;2;1;100;2;124
2006;2;2;63;1;109
2006;2;3;120;1;154
2006;2;4;107;2;145
2006;2;5;88;0;123
2006;2;6;71;1;88
2006;2;7;105;3;128
2006;2;8;116;3;149
2006;2;9;130;0;177
2006;3;;79;0;105
2006;3;1;147;0;193
2006;3;2;79;0;96
2006;3;3;163;0;211
2006;3;4;153;0;205
2006;3;5;126;1;176
2006;3;6;86;1;133
2006;3;7;116;1;152
2006;3;8;184;1;234
2006;3;9;163;0;214
2006;4;;48;1;61
2006;4;1;163;2;205
2006;4;2;100;0;137
2006;4;3;141;0;200
2006;4;4;108;0;165
2006;4;5;102;1;139
2006;4;6;108;0;137
2006;4;7;115;0;155
2006;4;8;145;0;209
2006;4;9;144;1;195
2006;5;;71;1;102
2006;5;1;183;0;229
2006;5;2;99;0;145
2006;5;3;158;1;210
2006;5;4;143;1;198
2006;5;5;140;2;194
2006;5;6;132;0;165
2006;5;7;124;0;150
2006;5;8;191;0;243
2006;5;9;170;1;246
2006;6;;62;0;79
2006;6;1;171;0;213
2006;6;2;103;0;137
2006;6;3;171;1;219
2006;6;4;147;1;195
2006;6;5;138;4;180
2006;6;6;114;0;147
2006;6;7;163;1;216
2006;6;8;194;0;256
2006;6;9;202;0;283
2006;7;;60;0;74
2006;7;1;157;0;206
2006;7;2;92;0;121
2006;7;3;174;1;233
2006;7;4;123;1;177
2006;7;5;124;2;165
2006;7;6;109;0;144
2006;7;7;141;3;185
2006;7;8;188;3;249
2006;7;9;174;4;249
2006;8;;29;0;40
2006;8;1;69;0;80
2006;8;2;59;0;88
2006;8;3;80;0;109
2006;8;4;75;0;122
2006;8;5;54;1;73
2006;8;6;49;1;71
2006;8;7;85;1;129
2006;8;8;74;1;93
2006;8;9;108;1;175
2006;9;;50;0;73
2006;9;1;143;0;180
2006;9;2;89;1;120
2006;9;3;171;1;229
2006;9;4;128;0;186
2006;9;5;118;1;161
2006;9;6;107;0;135
2006;9;7;102;0;137
2006;9;8;186;1;249
2006;9;9;169;0;232
2006;10;;62;0;82
2006;10;1;173;1;220
2006;10;2;96;0;121
2006;10;3;158;1;192
2006;10;4;162;1;221
2006;10;5;166;1;224
2006;10;6;131;1;169
2006;10;7;127;1;166
2006;10;8;211;1;277
2006;10;9;185;1;257
2006;11;;68;0;91
2006;11;1;175;0;221
2006;11;2;92;0;129
2006;11;3;184;1;256
2006;11;4;150;0;220
2006;11;5;124;0;174
2006;11;6;106;1;147
2006;11;7;138;0;179
2006;11;8;181;1;234
2006;11;9;218;1;299
2006;12;;56;0;73
2006;12;1;145;0;197
2006;12;2;63;0;92
2006;12;3;147;2;197
2006;12;4;129;1;182
2006;12;5;103;0;134
2006;12;6;104;1;135
2006;12;7;144;0;189
2006;12;8;183;3;235
2006;12;9;191;0;266
2007;1;;53;0;62
2007;1;1;143;0;182
2007;1;2;89;1;115
2007;1;3;156;0;212
2007;1;4;86;1;120
2007;1;5;94;1;130
2007;1;6;87;0;119
2007;1;7;111;0;146
2007;1;8;151;1;199
2007;1;9;153;0;194
2007;2;;36;1;51
2007;2;1;127;0;156
2007;2;2;65;0;97
2007;2;3;125;3;170
2007;2;4;96;1;127
2007;2;5;114;0;157
2007;2;6;101;1;160
2007;2;7;123;1;162
2007;2;8;150;0;204
2007;2;9;121;1;179
2007;3;;59;0;75
2007;3;1;152;1;198
2007;3;2;69;2;90
2007;3;3;140;1;183
2007;3;4;124;1;157
2007;3;5;132;1;190
2007;3;6;130;3;166
2007;3;7;120;1;159
2007;3;8;169;0;210
2007;3;9;176;2;247
2007;4;;52;0;61
2007;4;1;112;1;154
2007;4;2;79;1;104
2007;4;3;142;2;190
2007;4;4;115;1;163
2007;4;5;124;1;178
2007;4;6;116;0;160
2007;4;7;132;0;183
2007;4;8;139;0;194
2007;4;9;180;0;256
2007;5;;60;0;77
2007;5;1;173;0;228
2007;5;2;113;0;141
2007;5;3;144;0;189
2007;5;4;134;3;194
2007;5;5;126;1;164
2007;5;6;120;0;161
2007;5;7;143;0;190
2007;5;8;160;2;214
2007;5;9;211;0;286
2007;6;;55;1;76
2007;6;1;148;2;190
2007;6;2;84;2;113
2007;6;3;176;0;242
2007;6;4;128;0;167
2007;6;5;128;0;164
2007;6;6;118;1;164
2007;6;7;160;1;227
2007;6;8;158;1;200
2007;6;9;160;0;235
2007;7;;40;0;52
2007;7;1;157;0;192
2007;7;2;101;2;135
2007;7;3;176;0;228
2007;7;4;146;1;203
2007;7;5;141;1;186
2007;7;6;132;1;172
2007;7;7;124;1;164
2007;7;8;146;3;205
2007;7;9;173;0;260
2007;8;;26;0;35
2007;8;1;67;0;85
2007;8;2;44;0;68
2007;8;3;72;0;94
2007;8;4;63;2;89
2007;8;5;77;0;107
2007;8;6;60;2;85
2007;8;7;55;0;65
2007;8;8;84;1;119
2007;8;9;90;2;137
2007;9;;47;0;56
2007;9;1;154;0;184
2007;9;2;84;0;112
2007;9;3;168;1;227
2007;9;4;131;0;170
2007;9;5;142;1;194
2007;9;6;111;0;146
2007;9;7;130;1;169
2007;9;8;165;1;207
2007;9;9;175;0;250
2007;10;;45;0;58
2007;10;1;180;0;231
2007;10;2;92;0;117
2007;10;3;157;0;208
2007;10;4;145;0;183
2007;10;5;126;1;149
2007;10;6;121;2;143
2007;10;7;144;4;181
2007;10;8;176;1;229
2007;10;9;184;1;251
2007;11;;53;0;73
2007;11;1;164;0;210
2007;11;2;86;0;117
2007;11;3;149;2;189
2007;11;4;105;0;131
2007;11;5;121;1;182
2007;11;6;121;2;156
2007;11;7;144;2;184
2007;11;8;171;1;234
2007;11;9;188;0;255
2007;12;;48;0;65
2007;12;1;146;0;183
2007;12;2;68;0;84
2007;12;3;130;0;167
2007;12;4;110;0;147
2007;12;5;107;1;142
2007;12;6;85;0;109
2007;12;7;109;0;162
2007;12;8;133;0;193
2007;12;9;145;0;196
2008;1;;36;2;55
2008;1;1;100;1;136
2008;1;2;62;0;88
2008;1;3;125;0;171
2008;1;4;108;1;145
2008;1;5;88;0;143
2008;1;6;78;1;104
2008;1;7;92;0;122
2008;1;8;157;2;222
2008;1;9;144;0;208
2008;2;;43;1;61
2008;2;1;135;1;211
2008;2;2;81;0;106
2008;2;3;142;0;190
2008;2;4;110;0;149
2008;2;5;104;0;145
2008;2;6;80;2;104
2008;2;7;101;1;136
2008;2;8;132;0;175
2008;2;9;151;1;211
2008;3;;31;0;42
2008;3;1;138;0;171
2008;3;2;88;0;124
2008;3;3;151;1;221
2008;3;4;102;0;142
2008;3;5;120;1;164
2008;3;6;107;1;143
2008;3;7;116;0;159
2008;3;8;161;0;212
2008;3;9;164;3;243
2008;4;;48;0;67
2008;4;1;130;1;161
2008;4;2;101;0;132
2008;4;3;146;0;182
2008;4;4;114;0;168
2008;4;5;124;1;172
2008;4;6;109;0;147
2008;4;7;133;0;180
2008;4;8;163;1;219
2008;4;9;143;1;202
2008;5;;42;2;54
2008;5;1;113;0;148
2008;5;2;81;0;126
2008;5;3;159;1;216
2008;5;4;115;1;151
2008;5;5;106;0;151
2008;5;6;98;1;134
2008;5;7;151;2;210
2008;5;8;143;3;197
2008;5;9;136;1;187
2008;6;;47;0;62
2008;6;1;124;0;162
2008;6;2;87;0;115
2008;6;3;159;1;205
2008;6;4;134;0;191
2008;6;5;108;1;152
2008;6;6;102;2;135
2008;6;7;142;1;189
2008;6;8;147;0;190
2008;6;9;155;1;222
2008;7;;42;1;57
2008;7;1;132;0;164
2008;7;2;80;0;103
2008;7;3;171;0;221
2008;7;4;104;1;131
2008;7;5;119;2;152
2008;7;6;101;0;143
2008;7;7;136;0;176
2008;7;8;147;1;185
2008;7;9;146;0;198
2008;8;;23;0;29
2008;8;1;42;2;56
2008;8;2;34;0;41
2008;8;3;63;0;95
2008;8;4;57;0;71
2008;8;5;65;2;92
2008;8;6;47;0;60
2008;8;7;69;0;101
2008;8;8;79;0;105
2008;8;9;96;0;128
2008;9;;36;1;45
2008;9;1;157;0;199
2008;9;2;76;0;102
2008;9;3;126;1;179
2008;9;4;125;0;176
2008;9;5;132;3;175
2008;9;6;114;1;170
2008;9;7;134;1;176
2008;9;8;151;0;185
2008;9;9;147;1;197
2008;10;;58;0;82
2008;10;1;157;0;212
2008;10;2;84;0;103
2008;10;3;182;2;221
2008;10;4;137;1;176
2008;10;5;144;1;229
2008;10;6;129;2;159
2008;10;7;123;0;179
2008;10;8;187;0;234
2008;10;9;177;1;220
2008;11;;55;0;71
2008;11;1;165;0;199
2008;11;2;86;0;110
2008;11;3;162;0;222
2008;11;4;115;0;152
2008;11;5;116;1;138
2008;11;6;93;0;121
2008;11;7;117;0;154
2008;11;8;161;1;213
2008;11;9;161;0;214
2008;12;;37;1;51
2008;12;1;109;0;133
2008;12;2;56;0;73
2008;12;3;129;1;178
2008;12;4;101;1;128
2008;12;5;83;0;117
2008;12;6;74;0;103
2008;12;7;111;2;148
2008;12;8;119;0;161
2008;12;9;143;1;189
2009;1;;33;0;45
2009;1;1;114;0;141
2009;1;2;56;0;78
2009;1;3;103;0;135
2009;1;4;69;0;87
2009;1;5;83;0;122
2009;1;6;75;0;105
2009;1;7;98;0;133
2009;1;8;88;0;126
2009;1;9;134;1;176
2009;2;;31;0;42
2009;2;1;103;1;127
2009;2;2;52;0;75
2009;2;3;104;0;141
2009;2;4;75;2;90
2009;2;5;69;0;106
2009;2;6;83;0;108
2009;2;7;92;1;120
2009;2;8;105;1;143
2009;2;9;112;1;144
2009;3;;55;1;69
2009;3;1;159;0;191
2009;3;2;68;0;91
2009;3;3;130;0;178
2009;3;4;110;0;142
2009;3;5;115;0;168
2009;3;6;94;0;118
2009;3;7;129;0;171
2009;3;8;136;0;162
2009;3;9;133;1;185
2009;4;;52;1;75
2009;4;1;121;1;154
2009;4;2;66;0;99
2009;4;3;122;0;169
2009;4;4;103;0;133
2009;4;5;109;2;156
2009;4;6;95;0;126
2009;4;7;96;0;120
2009;4;8;134;1;172
2009;4;9;146;1;211
2009;5;;32;0;41
2009;5;1;144;0;179
2009;5;2;88;0;115
2009;5;3;157;0;190
2009;5;4;116;0;145
2009;5;5;110;0;153
2009;5;6;118;0;156
2009;5;7;150;1;197
2009;5;8;160;1;198
2009;5;9;145;0;191
2009;6;;34;0;46
2009;6;1;134;0;175
2009;6;2;89;0;120
2009;6;3;137;0;189
2009;6;4;143;1;199
2009;6;5;123;2;175
2009;6;6;113;2;149
2009;6;7;124;0;172
2009;6;8;178;0;238
2009;6;9;164;2;223
2009;7;;52;0;68
2009;7;1;147;0;175
2009;7;2;80;0;108
2009;7;3;130;1;177
2009;7;4;122;1;161
2009;7;5;119;1;157
2009;7;6;109;0;144
2009;7;7;126;0;161
2009;7;8;140;0;179
2009;7;9;142;0;196
2009;8;;27;0;32
2009;8;1;56;0;79
2009;8;2;31;0;42
2009;8;3;73;0;100
2009;8;4;65;1;101
2009;8;5;65;0;97
2009;8;6;53;1;75
2009;8;7;65;1;98
2009;8;8;77;1;101
2009;8;9;74;2;113
2009;9;;45;0;66
2009;9;1;144;0;182
2009;9;2;78;1;120
2009;9;3;131;0;176
2009;9;4;112;2;148
2009;9;5;107;0;151
2009;9;6;99;1;136
2009;9;7;126;1;148
2009;9;8;121;2;153
2009;9;9;166;0;228
2009;10;;53;1;75
2009;10;1;187;0;241
2009;10;2;96;1;143
2009;10;3;145;0;201
2009;10;4;136;1;184
2009;10;5;124;0;168
2009;10;6;114;0;151
2009;10;7;102;0;130
2009;10;8;159;0;211
2009;10;9;157;1;198
2009;11;;44;0;63
2009;11;1;149;0;196
2009;11;2;74;0;106
2009;11;3;158;0;212
2009;11;4;124;1;169
2009;11;5;125;1;172
2009;11;6;82;1;106
2009;11;7;115;1;146
2009;11;8;141;0;196
2009;11;9;138;1;182
2009;12;;36;0;50
2009;12;1;94;0;122
2009;12;2;66;0;88
2009;12;3;117;1;149
2009;12;4;91;0;127
2009;12;5;83;0;108
2009;12;6;85;0;108
2009;12;7;85;0;110
2009;12;8;121;1;175
2009;12;9;136;0;193
2010;1;;39;4;46
2010;1;1;108;0;141
2010;1;2;45;0;76
2010;1;3;104;1;140
2010;1;4;76;0;108
2010;1;5;58;0;83
2010;1;6;83;1;106
2010;1;7;82;1;103
2010;1;8;118;0;172
2010;1;9;116;0;163
2010;2;;30;0;40
2010;2;1;116;1;161
2010;2;2;58;0;69
2010;2;3;117;0;171
2010;2;4;65;1;86
2010;2;5;83;0;121
2010;2;6;73;0;97
2010;2;7;78;0;105
2010;2;8;98;2;129
2010;2;9;120;0;167
2010;3;;57;0;80
2010;3;1;127;0;158
2010;3;2;53;0;74
2010;3;3;140;1;198
2010;3;4;108;1;147
2010;3;5;113;0;143
2010;3;6;85;0;116
2010;3;7;104;1;131
2010;3;8;146;0;189
2010;3;9;174;1;235
2010;4;;48;0;70
2010;4;1;133;1;169
2010;4;2;70;0;86
2010;4;3;125;0;173
2010;4;4;119;2;161
2010;4;5;122;0;174
2010;4;6;109;0;148
2010;4;7;105;1;152
2010;4;8;138;0;183
2010;4;9;144;0;193
2010;5;;53;0;68
2010;5;1;147;1;179
2010;5;2;76;0;103
2010;5;3;138;0;195
2010;5;4;135;1;200
2010;5;5;123;1;158
2010;5;6;107;0;142
2010;5;7;106;1;143
2010;5;8;143;0;196
2010;5;9;126;0;168
2010;6;;53;0;76
2010;6;1;130;0;170
2010;6;2;75;1;98
2010;6;3;149;0;205
2010;6;4;122;1;155
2010;6;5;117;1;162
2010;6;6;87;0;115
2010;6;7;126;1;175
2010;6;8;140;0;169
2010;6;9;134;0;189
2010;7;;33;0;38
2010;7;1;121;0;167
2010;7;2;85;1;116
2010;7;3;135;1;185
2010;7;4;131;3;183
2010;7;5;107;1;143
2010;7;6;99;1;138
2010;7;7;99;0;125
2010;7;8;110;1;151
2010;7;9;153;1;204
2010;8;;27;0;40
2010;8;1;35;0;46
2010;8;2;37;0;53
